Profesión/ocupación|zona libre frontera norte|Resto del país
Albañilería, oficial de|185.56|142.14
Boticas, farmacias y droguerías, dependiente(a) de mostrador en|185.56|125.64
Buldózer y/o traxcavo, operador(a) de|185.56|148.90
Cajero(a) de máquina registradora|185.56|127.83
Cantinero(a) preparador(a) de bebidas|185.56|130.44
Carpintero(a) de obra negra|185.56|142.14
Carpintero(a) en fabricación yreparación de muebles, oficial|185.56|139.80
Cocinero(a), mayor(a) en restaurantes, fondas y demás establecimientos similares|185.56|143.94
Colchones, oficial en fabricación y reparación de|185.56|131.73
Colocador(a) de mosaicos y azulejos, oficial|185.56|139.30
Construcción de edificios y casas habitación, yesero(a) en|185.56|132.66
Cortador(a) en talleres y fábricas de manufactura de calzado, oficial|185.56|129.18
Costurero(a) en confección de ropa en talleres o fábricas|185.56|127.64
Costurero(a) en confección de ropa en trabajo a domicilio|185.56|130.99
Chofer acomodador(a) de automóviles en estacionamientos|185.56|133.53
Chofer de camión de carga en general|185.56|145.06
Chofer de camioneta de carga en general|185.56|140.95
Chofer operador(a) de vehículos con grúa|185.56|135.58
Draga, operador(a) de|185.56|150.28
Ebanista en fabricación y reparación de muebles, oficial|185.56|141.82
Electricista instalador(a) y reparador(a) de instalaciones|185.56|139.30
Electricista en la reparación de automóviles y camiones, oficial |185.56|140.65
Electricista reparador(a) de motores y/o generadores en talleres de|185.56|135.58
Empleado(a) de góndola, anaquel o sección en tiendas de autoservicio|185.56|125.28
Encargado(a) de bodega y/o almacén|185.56|129.75
Ferreterías y tlapalerías, dependiente(a) de mostrador en|185.56|132.34
Fogonero(a) de calderas de vapor|185.56|136.57
Gasolinero(a), oficial|185.56|127.64
Herrería, oficial de|185.56|137.50
Hojalatero(a) en la reparación de automóviles y camiones, oficial|185.56|139.80
Lubricador(a) de automóviles, camiones y otros vehículos de|185.56|128.61
Manejador (a) en granja avícola|185.56|123.92
Maquinaria agrícola, operador(a) de|185.56|142.84
Máquinas para madera en general, oficial operador(a) de|185.56|136.57
Mecánico(a) en reparación de automóviles y camiones, oficial|185.56|146.80
Montador(a) en talleres y fábricas de calzado, oficial|185.56|129.18
Peluquero(a) y cultor(a) de belleza en general|185.56|133.53
Pintor(a) de automóviles y camiones, oficial|185.56|137.50
Pintor(a) de casas, edificios y construcciones en general, oficial|185.56|136.57
Planchador(a) a máquina en tintorerías, lavanderías y establecimientos similares|185.56|127.83
Plomero(a) en instalaciones sanitarias, oficial|185.56|136.82
Radiotécnico(a) reparador(a) de aparatos eléctricos y electrónicos, oficial|185.56|141.82
Recamarero(a) en hoteles, moteles y otros establecimientos de hospedaje|185.56|125.28
Refaccionarias de automóviles y camiones, dependiente(a) de mostrador en|185.56|129.75
Reparador(a) de aparatos eléctricos para el hogar, oficial|185.56|135.07
Reportero(a) en prensa diaria impresa|260.49|275.90
Reportero(a) gráfico(a) en prensa diaria|260.49|275.90
Repostero(a) o pastelero(a)|185.56|142.14
Sastrería en trabajo a domicilio, oficial de|185.56|142.84
Secretario(a) auxiliar|185.56|146.50
Soldador(a) con soplete o con arco eléctrico|185.56|140.65
Tablajero(a) y/o carnicero(a) en mostrador|185.56|133.53
Tapicero(a) de vestiduras de automóviles, oficial|185.56|135.58
Tapicero(a) en reparación de muebles, oficial|185.56|135.58
Trabajo social, técnico(a) en|185.56|158.71
Vaquero(a) ordeñador(a) a máquina|185.56|125.28
Velador(a)|185.56|127.64
Vendedor(a) de piso de aparatos de uso doméstico|185.56|130.99
Zapatero(a) en talleres de reparación de calzado, oficial|185.56|129.18
